id,drug9,drug10,drug
115845|2442|KC423713,S,R,D4T_SIR
115864|162|KC423275,I,R,D4T_SIR
115919|2948|KC423907,S,R,D4T_SIR
116062|3056|KC423947,S,R,D4T_SIR
116464|565|KC424141,S,R,D4T_SIR
118568|hnr19|KC988163,S,R,D4T_SIR
118741|MK115w60|,S,R,D4T_SIR
118752|MK125w19|,S,R,D4T_SIR
118769|MK140w66|,S,R,D4T_SIR
118801|MK16w29|,S,R,D4T_SIR
118845|MK20w33|,S,R,D4T_SIR
118867|MK22w29|,S,R,D4T_SIR
118874|MK236w24|,S,R,D4T_SIR
118892|MK252w75|,S,R,D4T_SIR
118923|MK40w16|,S,R,D4T_SIR
118936|MK52w18|,S,R,D4T_SIR
118968|MK81w36|,S,R,D4T_SIR
118971|MK84w74|,S,R,D4T_SIR
119792|RS0025|KF157417,S,R,D4T_SIR
119800|R0146|KF157531,S,R,D4T_SIR
120055|CAS107|,I,R,D4T_SIR
120057|CAS052|,S,R,D4T_SIR
120058|CAS044|,S,R,D4T_SIR
120059|CAS031|,S,R,D4T_SIR
120061|CAS048|,S,R,D4T_SIR
120062|CAS084|,S,R,D4T_SIR
120063|CAS070|,S,R,D4T_SIR
120064|CAS080|,S,R,D4T_SIR
120067|CAS039|,S,R,D4T_SIR
120068|CAS054|,S,R,D4T_SIR
120069|CAS096|,S,R,D4T_SIR
120070|CAS090|,S,R,D4T_SIR
120072|CAS079|,S,R,D4T_SIR
120073|CAS086|,S,R,D4T_SIR
120074|CAS092|,S,R,D4T_SIR
120076|CAS109|,S,R,D4T_SIR
120078|CAS066|,S,R,D4T_SIR
120080|CAS077|,S,R,D4T_SIR
120081|CAS081|,S,R,D4T_SIR
120085|CAS071|,S,R,D4T_SIR
120086|CAS045|,S,R,D4T_SIR
120087|CAS056|,S,R,D4T_SIR
120089|CAS035|,S,R,D4T_SIR
120090|CAS073|,S,R,D4T_SIR
120153|CAN13-027|KF727873,S,R,D4T_SIR
120315|CAN13-133|KF727771,I,R,D4T_SIR
120577|SNH098|KC516959,S,R,D4T_SIR
121179|PHPT138|,S,R,D4T_SIR
122464|311|KF135048,I,R,D4T_SIR
124405|F06-5112015|AB866651,S,R,D4T_SIR
124612|JCR099_0|JX181999,S,R,D4T_SIR
124619|JCR049_0|JX181989,S,R,D4T_SIR
124646|LM4439|KF241483,I,R,D4T_SIR
124649|PJ2562|KF241497,S,R,D4T_SIR
125746|5294HALD|JX187622,S,R,D4T_SIR
126071|R037|FJ456898,S,R,D4T_SIR
126083|R149|FJ456914,S,R,D4T_SIR
126207|472|JQ914066,S,R,D4T_SIR
126209|79|JQ914093,S,R,D4T_SIR
126221|457|JQ914065,S,R,D4T_SIR
126222|496|JQ914087,S,R,D4T_SIR
126233|418251|KJ081321,S,R,D4T_SIR
126239|399048_1|KJ081319,S,R,D4T_SIR
126246|479756|KJ081335,S,R,D4T_SIR
126255|461994_2|KJ081331,S,R,D4T_SIR
126261|138524|KJ081294,S,R,D4T_SIR
126267|385473|KJ081318,S,R,D4T_SIR
128072|S0226190|JN675892,I,R,D4T_SIR
128084|Q1019297|JN675849,S,R,D4T_SIR
128314|CU310-10|JQ585380,S,R,D4T_SIR
128328|CU1916-10|JQ585443,S,R,D4T_SIR
128361|CU772-10|JQ585416,S,R,D4T_SIR
128383|CU2065-09|JQ585338,S,R,D4T_SIR
128569|236|KF292717,S,R,D4T_SIR
128616|Q0328177|KF292364,S,R,D4T_SIR
128653|Q0911041|KF292412,I,R,D4T_SIR
128671|Q0328091|KF292365,I,R,D4T_SIR
128676|T0507271|KF292634,S,R,D4T_SIR
128785|S0508221|KF292539,S,R,D4T_SIR
128953|R0329255|KF292471,S,R,D4T_SIR
129022|U0525189|KF292780,I,R,D4T_SIR
13009|SP_LP33|AF479608,S,R,D4T_SIR
131468|39_642|KJ870667,S,R,D4T_SIR
131497|464_656|KJ870676,S,R,D4T_SIR
131529|160_189|KJ870330,S,R,D4T_SIR
131624|8877|KC219617,S,R,D4T_SIR
131627|3269|KC219244,S,R,D4T_SIR
131633|80343|KC221879,S,R,D4T_SIR
131637|27842|KC220533,S,R,D4T_SIR
131640|5678|KC219425,S,R,D4T_SIR
131641|6334|KC219492,S,R,D4T_SIR
131655|29818|KC221934,S,R,D4T_SIR
131658|3954|KC219325,S,R,D4T_SIR
131661|4922|KC219388,S,R,D4T_SIR
131669|2973|KC219218,S,R,D4T_SIR
131671|15805|KC219848,S,R,D4T_SIR
131672|28306|KC220569,S,R,D4T_SIR
131676|2907|KC219213,S,R,D4T_SIR
131677|9826|KC219708,S,R,D4T_SIR
131692|9115|KC219655,S,R,D4T_SIR
131694|4050|KC219336,S,R,D4T_SIR
131695|24859|KC220305,S,R,D4T_SIR
131703|33610|KC220905,S,R,D4T_SIR
131711|45052|KC221320,S,R,D4T_SIR
131718|5741|KC219435,S,R,D4T_SIR
131722|26001|KC220390,S,R,D4T_SIR
131723|16360|KC219875,S,R,D4T_SIR
131732|4160|KC219346,S,R,D4T_SIR
131743|10153|KC219731,S,R,D4T_SIR
131745|2740|KC219196,S,R,D4T_SIR
131746|4571|KC219376,S,R,D4T_SIR
131757|9318|KC219682,S,R,D4T_SIR
131761|8546|KC219602,S,R,D4T_SIR
131766|25691|KC220368,S,R,D4T_SIR
131773|3758|KC219299,S,R,D4T_SIR
131774|19322|KC221915,S,R,D4T_SIR
131778|7359|KC219542,I,R,D4T_SIR
131780|27952|KC220545,S,R,D4T_SIR
131782|5550|KC219411,S,R,D4T_SIR
131787|28189|KC221896,S,R,D4T_SIR
131791|26793|KC220447,S,R,D4T_SIR
131793|55726|KC221733,S,R,D4T_SIR
131805|82143|KC219032,S,R,D4T_SIR
131811|627|KC219070,S,R,D4T_SIR
131816|80735|KC219000,S,R,D4T_SIR
131822|5593|KC219416,S,R,D4T_SIR
131828|26553|KC220431,I,R,D4T_SIR
131846|26219|KC220414,S,R,D4T_SIR
131850|29511|KC221901,S,R,D4T_SIR
131862|17405|KC219908,S,R,D4T_SIR
131865|43554|KC221282,S,R,D4T_SIR
131884|3325|KC219252,S,R,D4T_SIR
131896|39748|KC221174,S,R,D4T_SIR
131914|55873|KC221741,I,R,D4T_SIR
131922|4364|KC219362,S,R,D4T_SIR
131953|28831|KC220625,S,R,D4T_SIR
131975|51317|KC221468,S,R,D4T_SIR
131982|25740|KC220373,S,R,D4T_SIR
131989|10245|KC219742,S,R,D4T_SIR
131991|54811|KC221659,S,R,D4T_SIR
132000|3505|KC219268,S,R,D4T_SIR
132008|57855|KC218990,S,R,D4T_SIR
132014|25885|KC220381,S,R,D4T_SIR
132018|79185|KC221815,S,R,D4T_SIR
132022|52909|KC221553,S,R,D4T_SIR
132025|22801|KC220152,S,R,D4T_SIR
132051|45105|KC221322,S,R,D4T_SIR
132055|25459|KC220350,S,R,D4T_SIR
132070|10621|KC219766,S,R,D4T_SIR
132075|52496|KC221511,S,R,D4T_SIR
132079|52499|KC221512,S,R,D4T_SIR
132117|22467|KC220140,S,R,D4T_SIR
132119|8972|KC219632,S,R,D4T_SIR
132120|33545|KC220902,S,R,D4T_SIR
132137|56204|KC221762,I,R,D4T_SIR
132140|22428|KC220137,S,R,D4T_SIR
132146|33776|KC220913,S,R,D4T_SIR
132149|56490|KC221786,S,R,D4T_SIR
132153|2179|KC219150,S,R,D4T_SIR
132161|34451|KC220944,I,R,D4T_SIR
132165|24807|KC218943,S,R,D4T_SIR
132192|29058|KC220646,S,R,D4T_SIR
132233|54057|KC221608,S,R,D4T_SIR
132246|37317|KC221064,S,R,D4T_SIR
132250|307|KC219056,S,R,D4T_SIR
132251|32721|KC220863,S,R,D4T_SIR
132283|29549|KC220705,S,R,D4T_SIR
132284|52584|KC221999,S,R,D4T_SIR
132301|29188|KC220651,S,R,D4T_SIR
132317|29233|KC220654,S,R,D4T_SIR
132318|3215|KC219239,S,R,D4T_SIR
132323|19056|KC219961,S,R,D4T_SIR
132348|29758|KC220723,S,R,D4T_SIR
132364|31483|KC220802,S,R,D4T_SIR
132385|42755|KC221264,S,R,D4T_SIR
132393|54676|KC221651,S,R,D4T_SIR
132403|20508|KC220017,S,R,D4T_SIR
132422|14560|KC219815,S,R,D4T_SIR
132455|26691|KC220441,S,R,D4T_SIR
132456|34519|KC220949,S,R,D4T_SIR
132457|28725|KC220615,S,R,D4T_SIR
132461|4044|KC219335,S,R,D4T_SIR
132476|26682|KC220440,I,R,D4T_SIR
132486|43861|KC221292,S,R,D4T_SIR
132495|27923|KC220542,S,R,D4T_SIR
132529|3065|KC219225,S,R,D4T_SIR
132544|33761|KC220912,S,R,D4T_SIR
132548|26588|KC220434,I,R,D4T_SIR
132552|1470|KC219125,S,R,D4T_SIR
132553|7395|KC219544,S,R,D4T_SIR
132562|16060|KC219864,S,R,D4T_SIR
132584|28700|KC220611,S,R,D4T_SIR
132619|54339|KC221624,I,R,D4T_SIR
132627|30595|KC220773,I,R,D4T_SIR
132630|81774|KC219021,S,R,D4T_SIR
132653|33759|KC220911,S,R,D4T_SIR
132679|46289|KC221356,S,R,D4T_SIR
132686|67|KC219041,S,R,D4T_SIR
132690|28004|KC220551,S,R,D4T_SIR
132696|33992|KC220924,I,R,D4T_SIR
132713|48630|KC221406,S,R,D4T_SIR
132723|40563|KC221201,S,R,D4T_SIR
132745|2827|KC219208,S,R,D4T_SIR
132751|56049|KC221749,S,R,D4T_SIR
132755|25711|KC220371,S,R,D4T_SIR
132761|81693|KC219019,S,R,D4T_SIR
132764|1477|KC219126,S,R,D4T_SIR
132770|4561|KC219375,S,R,D4T_SIR
132772|80271|KC221872,S,R,D4T_SIR
132796|18135|KC219933,S,R,D4T_SIR
132800|2552|KC219184,S,R,D4T_SIR
132808|54824|KC221661,S,R,D4T_SIR
132813|80908|KC219004,S,R,D4T_SIR
132832|29278|KC220658,I,R,D4T_SIR
132836|55486|KC221713,S,R,D4T_SIR
132853|26099|KC220400,S,R,D4T_SIR
132902|29401|KC220680,S,R,D4T_SIR
132922|54391|KC221627,S,R,D4T_SIR
132929|54060|KC221610,S,R,D4T_SIR
132936|30501|KC220761,S,R,D4T_SIR
132950|27270|KC220484,I,R,D4T_SIR
132959|30055|KC220737,S,R,D4T_SIR
132963|27445|KC220498,S,R,D4T_SIR
132965|25193|KC220332,S,R,D4T_SIR
132971|27843|KC221943,I,R,D4T_SIR
132994|43020|KC221272,S,R,D4T_SIR
133025|192|KC219049,S,R,D4T_SIR
133034|7125|KC219535,I,R,D4T_SIR
133039|29029|KC221997,S,R,D4T_SIR
133042|55406|KC221703,S,R,D4T_SIR
133048|55796|KC221737,S,R,D4T_SIR
133056|2917|KC219214,S,R,D4T_SIR
133067|54815|KC221660,S,R,D4T_SIR
133070|25179|KC221897,S,R,D4T_SIR
133104|55256|KC218979,I,R,D4T_SIR
133116|1953|KC219143,S,R,D4T_SIR
133119|2757|KC219198,S,R,D4T_SIR
133133|30584|KC220772,S,R,D4T_SIR
133146|54942|KC221993,S,R,D4T_SIR
133149|56233|KC221765,S,R,D4T_SIR
133151|3106|KC219230,S,R,D4T_SIR
133162|2542|KC219182,S,R,D4T_SIR
133166|56162|KC221760,S,R,D4T_SIR
133174|3077|KC219228,S,R,D4T_SIR
133180|31617|KC220817,S,R,D4T_SIR
133187|37267|KC221062,S,R,D4T_SIR
133192|20234|KC220004,S,R,D4T_SIR
133218|21695|KC220100,S,R,D4T_SIR
133227|19613|KC219973,S,R,D4T_SIR
133232|30432|KC220753,S,R,D4T_SIR
133244|39332|KC221152,S,R,D4T_SIR
133250|25418|KC220346,S,R,D4T_SIR
133315|4134|KC219345,S,R,D4T_SIR
133333|618|KC219068,S,R,D4T_SIR
133338|26179|KC220407,I,R,D4T_SIR
133342|474|KC219061,I,R,D4T_SIR
133361|55968|KC221746,S,R,D4T_SIR
133363|28718|KC220614,S,R,D4T_SIR
133392|9320|KC219683,S,R,D4T_SIR
133406|3484|KC219264,S,R,D4T_SIR
133419|3553|KC219273,I,R,D4T_SIR
133426|25494|KC220352,S,R,D4T_SIR
133439|22495|KC220142,S,R,D4T_SIR
133447|3663|KC219292,S,R,D4T_SIR
133453|29369|KC220673,I,R,D4T_SIR
133455|25628|KC220359,S,R,D4T_SIR
133485|79048|KC221799,S,R,D4T_SIR
133510|28918|KC220632,S,R,D4T_SIR
133542|18458|KC219939,S,R,D4T_SIR
133574|951|KC219096,S,R,D4T_SIR
133578|3814|KC219306,S,R,D4T_SIR
133581|22100|KC220123,I,R,D4T_SIR
133592|9322|KC219684,S,R,D4T_SIR
133623|2898|KC219212,S,R,D4T_SIR
133639|27442|KC220495,S,R,D4T_SIR
133665|2801|KC219204,S,R,D4T_SIR
133666|21475|KC220081,S,R,D4T_SIR
133676|52339|KC221493,S,R,D4T_SIR
133691|31775|KC220833,S,R,D4T_SIR
133709|26625|KC220435,I,R,D4T_SIR
133730|7209|KC219539,S,R,D4T_SIR
133738|35711|KC220996,S,R,D4T_SIR
133739|31558|KC220806,S,R,D4T_SIR
133740|38335|KC221097,S,R,D4T_SIR
133741|29409|KC220683,S,R,D4T_SIR
133743|9024|KC219640,S,R,D4T_SIR
133746|31565|KC220808,S,R,D4T_SIR
133766|44924|KC221319,S,R,D4T_SIR
133790|82093|KC219030,S,R,D4T_SIR
133802|56024|KC221898,S,R,D4T_SIR
133803|35272|KC220976,S,R,D4T_SIR
133808|38624|KC221122,S,R,D4T_SIR
133819|16379|KC219880,I,R,D4T_SIR
133820|20991|KC220050,S,R,D4T_SIR
133832|80395|KC218994,S,R,D4T_SIR
133871|36374|KC221028,I,R,D4T_SIR
133873|32540|KC220855,S,R,D4T_SIR
133876|38266|KC221095,S,R,D4T_SIR
133888|28569|KC220592,S,R,D4T_SIR
133897|28522|KC220586,S,R,D4T_SIR
133908|55409|KC221704,S,R,D4T_SIR
133933|26963|KC220455,S,R,D4T_SIR
133934|19784|KC219980,S,R,D4T_SIR
133937|3316|KC219250,S,R,D4T_SIR
133948|2490|KC219176,S,R,D4T_SIR
133985|21450|KC220078,S,R,D4T_SIR
133997|55111|KC221680,S,R,D4T_SIR
134038|54914|KC221669,S,R,D4T_SIR
134046|55467|KC221944,I,R,D4T_SIR
134089|685|KC219073,S,R,D4T_SIR
134093|21791|KC220109,S,R,D4T_SIR
134094|36800|KC221035,S,R,D4T_SIR
134112|29281|KC220660,S,R,D4T_SIR
134128|38550|KC221109,S,R,D4T_SIR
134136|79249|KC221820,S,R,D4T_SIR
134138|55568|KC221726,S,R,D4T_SIR
134148|9381|KC219700,S,R,D4T_SIR
134157|31627|KC220819,S,R,D4T_SIR
134194|27460|KC220501,S,R,D4T_SIR
134196|56126|KC221757,S,R,D4T_SIR
134214|3631|KC219285,S,R,D4T_SIR
134246|2516|KC219179,S,R,D4T_SIR
134258|25313|KC220338,S,R,D4T_SIR
134288|51746|KC221477,S,R,D4T_SIR
134289|21511|KC220083,S,R,D4T_SIR
134302|21672|KC220097,I,R,D4T_SIR
134322|27290|KC220485,S,R,D4T_SIR
134334|18306|KC219936,S,R,D4T_SIR
134352|27629|KC220511,I,R,D4T_SIR
134376|29800|KC220729,S,R,D4T_SIR
134377|28520|KC220585,S,R,D4T_SIR
134379|55529|KC221718,I,R,D4T_SIR
134382|30959|KC220782,S,R,D4T_SIR
134385|56469|KC221784,S,R,D4T_SIR
134414|36187|KC221020,S,R,D4T_SIR
134438|24226|KC220245,S,R,D4T_SIR
134442|2313|KC219160,S,R,D4T_SIR
134446|48862|KC221415,S,R,D4T_SIR
134462|27444|KC220497,S,R,D4T_SIR
134475|4350|KC219360,I,R,D4T_SIR
134491|37216|KC221060,S,R,D4T_SIR
134521|18980|KC219958,I,R,D4T_SIR
134596|4890|KC219386,S,R,D4T_SIR
134607|3204|KC219238,I,R,D4T_SIR
134639|54455|KC221634,I,R,D4T_SIR
134650|26254|KC220418,S,R,D4T_SIR
134666|29364|KC220671,I,R,D4T_SIR
134673|2213|KC219154,S,R,D4T_SIR
134757|2955|,S,R,D4T_SIR
134770|BM18035|,I,R,D4T_SIR
134852|7518|,S,R,D4T_SIR
134858|4753|,S,R,D4T_SIR
134883|3371|,S,R,D4T_SIR
134896|5707|,S,R,D4T_SIR
134897|BM42778|,S,R,D4T_SIR
134933|130803|,S,R,D4T_SIR
135122|10ZAKS031|KJ176313,S,R,D4T_SIR
135141|12ZAKS328|KJ176607,S,R,D4T_SIR
135151|11ZAKS149|KJ176431,I,R,D4T_SIR
135177|12ZAKS350|KJ176629,S,R,D4T_SIR
135197|11ZAKS089|KJ176371,S,R,D4T_SIR
135262|11ZAKS187|KJ176468,S,R,D4T_SIR
135294|11ZAKS137|KJ176419,S,R,D4T_SIR
135328|11ZAKS144|KJ176426,S,R,D4T_SIR
135382|11ZAKS134|KJ176416,S,R,D4T_SIR
135425|12ZAKS349|KJ176628,S,R,D4T_SIR
135456|09ZAKS009|KJ176293,I,R,D4T_SIR
135532|1966_MT|KC184299,S,R,D4T_SIR
135571|1785|,S,R,D4T_SIR
136408|234M6_OAApool|KF544282,S,R,D4T_SIR
13902|dn38|AF504588,S,R,D4T_SIR
139558|RES080|KC951690,I,R,D4T_SIR
139574|RES453|KC951845,S,R,D4T_SIR
139580|RES315|KC951771,S,R,D4T_SIR
139593|RES367|KC951820,S,R,D4T_SIR
139620|RES047|KC951667,S,R,D4T_SIR
139637|RES370|KC951823,S,R,D4T_SIR
139660|RES171|KC951721,S,R,D4T_SIR
139687|RES128|KC951713,S,R,D4T_SIR
139700|RES304|KC951761,S,R,D4T_SIR
139737|RES122|KC951707,S,R,D4T_SIR
139738|RES267|KC951756,S,R,D4T_SIR
139746|RES077|KC951687,S,R,D4T_SIR
139824|RS11_495|KC568525,S,R,D4T_SIR
14098|F30020-2|AY714407,S,R,D4T_SIR
1422|CA15819|AY800921,S,R,D4T_SIR
14290|CA41373|AY802291,S,R,D4T_SIR
14302|CA38213|AY802298,S,R,D4T_SIR
14306|CA38549|AY802301,S,R,D4T_SIR
143934|12ZALS157|KM115860,S,R,D4T_SIR
143937|12ZALS103|KM115752,S,R,D4T_SIR
143941|12ZALS099|KM115825,S,R,D4T_SIR
143946|12ZALS109|KM115823,S,R,D4T_SIR
143949|12ZALS150|KM115736,S,R,D4T_SIR
143957|11ZALS056|KM115842,S,R,D4T_SIR
143958|12ZALS122|KM115794,S,R,D4T_SIR
143961|11ZALS093|KM115746,S,R,D4T_SIR
143967|12ZALS102|KM115771,S,R,D4T_SIR
143968|12ZALS114|KM115760,S,R,D4T_SIR
143970|11ZALS054|KM115820,S,R,D4T_SIR
143971|11ZALS071|KM115738,S,R,D4T_SIR
143972|12ZALS144|KM115803,S,R,D4T_SIR
143974|11ZALS015|KM115800,S,R,D4T_SIR
143982|10ZALS002|KM115793,S,R,D4T_SIR
143985|12ZALS158|KM115873,S,R,D4T_SIR
143986|12ZALS139|KM115763,S,R,D4T_SIR
143987|12ZALS123|KM115866,S,R,D4T_SIR
143989|12ZALS098|KM115858,S,R,D4T_SIR
143991|12ZALS110|KM115848,S,R,D4T_SIR
143995|11ZALS084|KM115748,S,R,D4T_SIR
143998|11ZALS038|KM115796,S,R,D4T_SIR
144001|12ZALS101|KM115834,S,R,D4T_SIR
144006|12ZALS145|KM115862,S,R,D4T_SIR
144007|11ZALS037|KM115734,S,R,D4T_SIR
144021|12ZALS121|KM115829,S,R,D4T_SIR
144027|12ZALS148|KM115808,S,R,D4T_SIR
144029|12ZALS149|KM115735,S,R,D4T_SIR
144036|11ZALS057|KM115807,S,R,D4T_SIR
144040|10ZALS001|KM115804,S,R,D4T_SIR
144043|12ZALS131|KM115838,S,R,D4T_SIR
144046|12ZALS096|KM115856,S,R,D4T_SIR
144048|11ZALS011|KM115809,S,R,D4T_SIR
144049|11ZALS091|KM115740,S,R,D4T_SIR
144053|11ZALS061|KM115850,S,R,D4T_SIR
144055|11ZALS014|KM115721,S,R,D4T_SIR
144056|11ZALS085|KM115753,I,R,D4T_SIR
144057|12ZALS108|KM115798,S,R,D4T_SIR
144059|11ZALS035|KM115846,S,R,D4T_SIR
144060|11ZALS022|KM115835,S,R,D4T_SIR
144061|12ZALS105|KM115769,S,R,D4T_SIR
144065|10ZALS004|KM115812,I,R,D4T_SIR
144071|11ZALS066|KM115754,S,R,D4T_SIR
144076|11ZALS040|KM115815,S,R,D4T_SIR
144081|11ZALS009|KM115723,S,R,D4T_SIR
144083|12ZALS113|KM115832,S,R,D4T_SIR
14410|CA38239|AY802337,I,R,D4T_SIR
145775|58_WR13|KM284404,S,R,D4T_SIR
14589|CA34991|AY802387,S,R,D4T_SIR
146700|41448|KM458533,S,R,D4T_SIR
146712|41514|KM458601,S,R,D4T_SIR
146727|41509|KM458506,S,R,D4T_SIR
146733|42007|KM458585,S,R,D4T_SIR
146749|41438|KM458517,S,R,D4T_SIR
146756|41500|KM458505,S,R,D4T_SIR
146762|41517|KM458599,S,R,D4T_SIR
146767|41062|KM458513,I,R,D4T_SIR
146795|41512|KM458589,S,R,D4T_SIR
146820|41507|KM458569,S,R,D4T_SIR
146826|41504|KM458538,S,R,D4T_SIR
146839|41138|KM458560,S,R,D4T_SIR
146842|ZMHIVDRM10|KP995620,S,R,D4T_SIR
146844|ZMHIVDRM46|KP995656,S,R,D4T_SIR
146849|ZMHIVDRM49|KP995659,S,R,D4T_SIR
146850|ZMHIVDRM19|KP995629,S,R,D4T_SIR
146851|ZMHIVDRM7|KP995679,S,R,D4T_SIR
146854|ZMHIVDRM2|KP995613,S,R,D4T_SIR
146863|ZMHIVDRM68|KP995678,S,R,D4T_SIR
146868|ZMHIVDRM11|KP995621,S,R,D4T_SIR
146872|ZMHIVDRM30|KP995640,S,R,D4T_SIR
146874|ZMHIVDRM14|KP995624,S,R,D4T_SIR
146876|ZMHIVDRM43|KP995653,S,R,D4T_SIR
146880|ZMHIVDRM34|KP995644,S,R,D4T_SIR
146882|ZMHIVDRM12|KP995622,S,R,D4T_SIR
146884|ZMHIVDRM15|KP995625,S,R,D4T_SIR
146885|ZMHIVDRM39|KP995649,S,R,D4T_SIR
14688|CA152275|,S,R,D4T_SIR
146891|ZMHIVDRM50|KP995660,S,R,D4T_SIR
146899|ZMHIVDRM63|KP995673,S,R,D4T_SIR
146901|ZMHIVDRM38|KP995648,I,R,D4T_SIR
146907|ZMHIVDRM36|KP995646,S,R,D4T_SIR
147405|222|KM205856,S,R,D4T_SIR
147432|13|KM206065,S,R,D4T_SIR
147464|97|KM205981,S,R,D4T_SIR
14756|CA35256|AY802419,S,R,D4T_SIR
14879|DR44|AY589899,S,R,D4T_SIR
14880|DR46|AY589900,I,R,D4T_SIR
14899|DR69|AY589918,S,R,D4T_SIR
149931|RP020|KT032001,S,R,D4T_SIR
149958|RP145|KT032053,S,R,D4T_SIR
149992|2134A|KU900885,S,R,D4T_SIR
149995|2068A|KU900878,S,R,D4T_SIR
149996|2052A|KU900870,S,R,D4T_SIR
149997|2009A|KU900869,S,R,D4T_SIR
149998|2047A|KU900876,S,R,D4T_SIR
149999|2065A|KU900877,S,R,D4T_SIR
150002|2164A|KU900898,S,R,D4T_SIR
150004|2030A|KU900873,S,R,D4T_SIR
150006|2077A|KU900871,S,R,D4T_SIR
150009|2116A|KU900897,S,R,D4T_SIR
150010|2156A|KU900888,S,R,D4T_SIR
150011|2202A|KU900891,S,R,D4T_SIR
150012|2208A|KU900895,I,R,D4T_SIR
150013|2187A|KU900890,S,R,D4T_SIR
150015|2110A|KU900881,I,R,D4T_SIR
150016|2155A|KU900887,S,R,D4T_SIR
150017|2147A|KU900886,S,R,D4T_SIR
150018|2181A|KU900889,S,R,D4T_SIR
150021|2050A|KU900894,S,R,D4T_SIR
150025|2103A|KU900900,S,R,D4T_SIR
150026|2033A|KU900893,S,R,D4T_SIR
150027|2131A|KU900884,S,R,D4T_SIR
150028|2130A|KU900892,S,R,D4T_SIR
15125|ea1-F|AY222051,S,R,D4T_SIR
15126|hj2-F1|AY222053,S,R,D4T_SIR
15127|bc3-F2|AY222056,S,R,D4T_SIR
15128|md4-F1|AY222058,S,R,D4T_SIR
15129|sm5-F|AY222060,S,R,D4T_SIR
1525|CA4367|AY030644,S,R,D4T_SIR
155282|5091N172|AB845348,S,R,D4T_SIR
155304|RenG17236|KT748264,S,R,D4T_SIR
155454|RenG16548|KT747576,S,R,D4T_SIR
155483|RenG16007|KT747035,S,R,D4T_SIR
155495|RenG17053|KT748081,S,R,D4T_SIR
155569|RenG16549|KT747577,S,R,D4T_SIR
155664|RenG17273|KT748301,S,R,D4T_SIR
155769|RenG16533|KT747561,S,R,D4T_SIR
155824|RenG15736|KT746764,S,R,D4T_SIR
155838|RenG15773|KT746801,S,R,D4T_SIR
155875|RenG16420|KT747448,S,R,D4T_SIR
155986|RenG17255|KT748283,S,R,D4T_SIR
156086|RenG15670|KT746698,S,R,D4T_SIR
156186|RenG17428|KT748456,S,R,D4T_SIR
156239|RenG16252|KT747280,S,R,D4T_SIR
156248|RenG16952|KT747980,S,R,D4T_SIR
156297|RenG16659|KT747687,S,R,D4T_SIR
156299|RenG16160|KT747188,S,R,D4T_SIR
156334|RenG16033|KT747061,S,R,D4T_SIR
156358|RenG17463|KT748491,S,R,D4T_SIR
156536|RenG15896|KT746924,S,R,D4T_SIR
156553|RenG15636|KT746664,S,R,D4T_SIR
156831|RenG15947|KT746975,S,R,D4T_SIR
156893|RenG15992|KT747020,I,R,D4T_SIR
156969|RenG16206|KT747234,S,R,D4T_SIR
157008|RenG15652|KT746680,S,R,D4T_SIR
157049|RenG17117|KT748145,S,R,D4T_SIR
157061|RenG16325|KT747353,S,R,D4T_SIR
157241|RenG16990|KT748018,S,R,D4T_SIR
